Date,btc,oil,ethereum,euro,gold,tether,dow,sp,nasdaq,tenyear,btc_tmr,btc_change_tmr,btc_yesterday,btc_change_yesterday,oil_yesterday,oil_change_yesterday,ethereum_yesterday,ethereum_change_yesterday,euro_yesterday,euro_change_yesterday,gold_yesterday,gold_change_yesterday,tether_yesterday,tether_change_yesterday,dow_yesterday,dow_change_yesterday,sp_yesterday,sp_change_yesterday,nasdaq_yesterday,nasdaq_change_yesterday,tenyear_yesterday,tenyear_change_yesterday,btc_tmr_yesterday,btc_tmr_change_yesterday,btc_change_tmr_yesterday,btc_change_tmr_change_yesterday
2017-09-01,4892.009765625,47.290000915527344,,1.1910432577133179,1324.5,,21987.560546875,2476.550048828125,6435.330078125,2.1570000648498535,4578.77001953125,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2017-09-02,4578.77001953125,,,,,,,,,,4582.9599609375,1,4892.009765625,0,47.290000915527344,0,,0,1.1910432577133179,0,1324.5,0,,0,21987.560546875,0,2476.550048828125,0,6435.330078125,0,2.1570000648498535,0,4578.77001953125,1,0.0,1
2017-09-03,4582.9599609375,,,,,,,,,,4236.31005859375,0,4578.77001953125,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,4582.9599609375,0,1.0,0
2017-09-04,4236.31005859375,,,1.1882835626602173,,,,,,,4376.52978515625,1,4582.9599609375,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,4236.31005859375,1,0.0,1
2017-09-05,4376.52978515625,48.65999984741211,,1.1893434524536133,1339.199951171875,,21753.310546875,2457.85009765625,6375.56982421875,2.069999933242798,4597.1201171875,1,4236.31005859375,1,,0,,0,1.1882835626602173,1,,0,,0,,0,,0,,0,,0,4376.52978515625,1,1.0,0
2017-09-06,4597.1201171875,49.15999984741211,,1.1924067735671997,1333.9000244140625,,21807.640625,2465.5400390625,6393.31005859375,2.1080000400543213,4599.8798828125,1,4376.52978515625,1,48.65999984741211,1,,0,1.1893434524536133,1,1339.199951171875,0,,0,21753.310546875,1,2457.85009765625,1,6375.56982421875,1,2.069999933242798,1,4597.1201171875,1,1.0,0
2017-09-07,4599.8798828125,49.09000015258789,,1.1927765607833862,1345.0999755859375,,21784.779296875,2465.10009765625,6397.8701171875,2.061000108718872,4228.75,0,4597.1201171875,1,49.15999984741211,0,,0,1.1924067735671997,1,1333.9000244140625,1,,0,21807.640625,0,2465.5400390625,0,6393.31005859375,1,2.1080000400543213,0,4599.8798828125,0,1.0,0
2017-09-08,4228.75,47.47999954223633,,1.2029062509536743,1346.0,,21797.7890625,2461.429931640625,6360.18994140625,2.061000108718872,4226.06005859375,0,4599.8798828125,0,49.09000015258789,0,,0,1.1927765607833862,1,1345.0999755859375,1,,0,21784.779296875,1,2465.10009765625,0,6397.8701171875,0,2.061000108718872,0,4228.75,0,0.0,0
2017-09-09,4226.06005859375,,,,,,,,,,4122.93994140625,0,4228.75,0,47.47999954223633,0,,0,1.2029062509536743,0,1346.0,0,,0,21797.7890625,0,2461.429931640625,0,6360.18994140625,0,2.061000108718872,0,4226.06005859375,0,0.0,0
2017-09-10,4122.93994140625,,,,,,,,,,4161.27001953125,1,4226.06005859375,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,4122.93994140625,1,0.0,1
2017-09-11,4161.27001953125,48.06999969482422,,1.2017642259597778,1331.0,,22057.369140625,2488.110107421875,6432.259765625,2.125,4130.81005859375,0,4122.93994140625,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,4161.27001953125,0,1.0,0
2017-09-12,4130.81005859375,48.22999954223633,,1.1959433555603027,1328.0,,22118.859375,2496.47998046875,6454.27978515625,2.1710000038146973,3882.590087890625,0,4161.27001953125,0,48.06999969482422,1,,0,1.2017642259597778,0,1331.0,0,,0,22057.369140625,1,2488.110107421875,1,6432.259765625,1,2.125,1,4130.81005859375,0,0.0,0
2017-09-13,3882.590087890625,49.29999923706055,,1.1974613666534424,1323.4000244140625,,22158.1796875,2498.3701171875,6460.18994140625,2.194999933242798,3154.949951171875,0,4130.81005859375,0,48.22999954223633,1,,0,1.1959433555603027,1,1328.0,0,,0,22118.859375,1,2496.47998046875,1,6454.27978515625,1,2.1710000038146973,1,3882.590087890625,0,0.0,0
2017-09-14,3154.949951171875,49.88999938964844,,1.1890605688095093,1324.699951171875,,22203.48046875,2495.6201171875,6429.080078125,2.197000026702881,3637.52001953125,1,3882.590087890625,0,49.29999923706055,1,,0,1.1974613666534424,0,1323.4000244140625,1,,0,22158.1796875,1,2498.3701171875,0,6460.18994140625,0,2.194999933242798,1,3154.949951171875,1,0.0,1
2017-09-15,3637.52001953125,49.88999938964844,,1.1921650171279907,1320.4000244140625,,22268.33984375,2500.22998046875,6448.47021484375,2.2019999027252197,3625.0400390625,0,3154.949951171875,1,49.88999938964844,0,,0,1.1890605688095093,1,1324.699951171875,0,,0,22203.48046875,1,2495.6201171875,1,6429.080078125,1,2.197000026702881,1,3637.52001953125,0,1.0,0
2017-09-16,3625.0400390625,,,,,,,,,,3582.8798828125,0,3637.52001953125,0,49.88999938964844,0,,0,1.1921650171279907,0,1320.4000244140625,0,,0,22268.33984375,0,2500.22998046875,0,6448.47021484375,0,2.2019999027252197,0,3625.0400390625,0,0.0,0
2017-09-17,3582.8798828125,,,,,,,,,,4065.199951171875,1,3625.0400390625,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,3582.8798828125,1,0.0,1
2017-09-18,4065.199951171875,49.90999984741211,,1.193716287612915,1306.300048828125,,22331.349609375,2503.8701171875,6454.64013671875,2.2290000915527344,3924.969970703125,0,3582.8798828125,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,4065.199951171875,0,1.0,0
2017-09-19,3924.969970703125,49.47999954223633,,1.1959290504455566,1306.199951171875,,22370.80078125,2506.64990234375,6461.31982421875,2.243000030517578,3905.949951171875,0,4065.199951171875,0,49.90999984741211,0,,0,1.193716287612915,1,1306.300048828125,0,,0,22331.349609375,1,2503.8701171875,1,6454.64013671875,1,2.2290000915527344,1,3924.969970703125,0,0.0,0
2017-09-20,3905.949951171875,50.40999984741211,,1.199256420135498,1312.0,,22412.58984375,2508.239990234375,6456.0400390625,2.2769999504089355,3631.0400390625,0,3924.969970703125,0,49.47999954223633,1,,0,1.1959290504455566,1,1306.199951171875,1,,0,22370.80078125,1,2506.64990234375,1,6461.31982421875,0,2.243000030517578,1,3905.949951171875,0,0.0,0
2017-09-21,3631.0400390625,50.54999923706055,,1.1872113943099976,1290.5999755859375,,22359.23046875,2500.60009765625,6422.68994140625,2.2780001163482666,3630.699951171875,0,3905.949951171875,0,50.40999984741211,1,,0,1.199256420135498,0,1312.0,0,,0,22412.58984375,0,2508.239990234375,0,6456.0400390625,0,2.2769999504089355,1,3631.0400390625,0,0.0,0
2017-09-22,3630.699951171875,50.65999984741211,,1.194557547569275,1293.300048828125,,22349.58984375,2502.219970703125,6426.919921875,2.26200008392334,3792.39990234375,1,3631.0400390625,0,50.54999923706055,1,,0,1.1872113943099976,1,1290.5999755859375,1,,0,22359.23046875,0,2500.60009765625,1,6422.68994140625,1,2.2780001163482666,0,3630.699951171875,1,0.0,1
2017-09-23,3792.39990234375,,,,,,,,,,3682.840087890625,0,3630.699951171875,1,50.65999984741211,0,,0,1.194557547569275,0,1293.300048828125,0,,0,22349.58984375,0,2502.219970703125,0,6426.919921875,0,2.26200008392334,0,3792.39990234375,0,1.0,0
2017-09-24,3682.840087890625,,,,,,,,,,3926.070068359375,1,3792.39990234375,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,3682.840087890625,1,0.0,1
2017-09-25,3926.070068359375,52.220001220703125,,1.1927196979522705,1306.800048828125,,22296.08984375,2496.659912109375,6370.58984375,2.2200000286102295,3892.35009765625,0,3682.840087890625,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,3926.070068359375,0,1.0,0
2017-09-26,3892.35009765625,51.880001068115234,,1.185564637184143,1297.0,,22284.3203125,2496.840087890625,6380.16015625,2.2290000915527344,4200.669921875,1,3926.070068359375,0,52.220001220703125,0,,0,1.1927196979522705,0,1306.800048828125,0,,0,22296.08984375,0,2496.659912109375,1,6370.58984375,1,2.2200000286102295,1,3892.35009765625,1,0.0,1
