Date,btc,oil,ethereum,euro,gold,tether,dow,sp,nasdaq,tenyear,btc_ytd,btc_change_ytd,oil_ytd,oil_change_ytd,ethereum_ytd,ethereum_change_ytd,euro_ytd,euro_change_ytd,gold_ytd,gold_change_ytd,tether_ytd,tether_change_ytd,dow_ytd,dow_change_ytd,sp_ytd,sp_change_ytd,nasdaq_ytd,nasdaq_change_ytd,tenyear_ytd,tenyear_change_ytd,btc_tmr,btc_change_tmr,oil_tmr,oil_change_tmr,ethereum_tmr,ethereum_change_tmr,euro_tmr,euro_change_tmr,gold_tmr,gold_change_tmr,tether_tmr,tether_change_tmr,dow_tmr,dow_change_tmr,sp_tmr,sp_change_tmr,nasdaq_tmr,nasdaq_change_tmr,tenyear_tmr,tenyear_change_tmr
2016-01-01,434.3340148925781,,,1.0859060287475586,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,433.43798828125,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2016-01-02,433.43798828125,,,,,,,,,,434.3340148925781,0,,0,,0,1.0859060287475586,0,,0,,0,,0,,0,,0,,0,430.010986328125,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2016-01-03,430.010986328125,,,,,,,,,,433.43798828125,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,433.09100341796875,1,36.7599983215332,0,,0,1.0853991508483887,0,1075.0999755859375,0,,0,17148.939453125,0,2012.6600341796875,0,4903.08984375,0,2.244999885559082,0
2016-01-04,433.09100341796875,36.7599983215332,,1.0853991508483887,1075.0999755859375,,17148.939453125,2012.6600341796875,4903.08984375,2.244999885559082,430.010986328125,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,431.9599914550781,0,35.970001220703125,0,,0,1.0827549695968628,0,1078.4000244140625,1,,0,17158.66015625,1,2016.7099609375,1,4891.43017578125,0,2.247999906539917,1
2016-01-05,431.9599914550781,35.970001220703125,,1.0827549695968628,1078.4000244140625,,17158.66015625,2016.7099609375,4891.43017578125,2.247999906539917,433.09100341796875,0,36.7599983215332,0,,0,1.0853991508483887,0,1075.0999755859375,1,,0,17148.939453125,1,2012.6600341796875,1,4903.08984375,0,2.244999885559082,1,429.1050109863281,0,33.970001220703125,0,,0,1.0751993656158447,0,1091.9000244140625,1,,0,16906.509765625,0,1990.260009765625,0,4835.759765625,0,2.177000045776367,0
2016-01-06,429.1050109863281,33.970001220703125,,1.0751993656158447,1091.9000244140625,,16906.509765625,1990.260009765625,4835.759765625,2.177000045776367,431.9599914550781,0,35.970001220703125,0,,0,1.0827549695968628,0,1078.4000244140625,1,,0,17158.66015625,0,2016.7099609375,0,4891.43017578125,0,2.247999906539917,0,458.0480041503906,1,33.27000045776367,0,,0,1.0778998136520386,1,1107.699951171875,1,,0,16514.099609375,0,1943.0899658203125,0,4689.43017578125,0,2.1530001163482666,0
2016-01-07,458.0480041503906,33.27000045776367,,1.0778998136520386,1107.699951171875,,16514.099609375,1943.0899658203125,4689.43017578125,2.1530001163482666,429.1050109863281,1,33.970001220703125,0,,0,1.0751993656158447,1,1091.9000244140625,1,,0,16906.509765625,0,1990.260009765625,0,4835.759765625,0,2.177000045776367,0,453.2300109863281,0,33.15999984741211,0,,0,1.0925976037979126,1,1097.800048828125,0,,0,16346.4501953125,0,1922.030029296875,0,4643.6298828125,0,2.130000114440918,0
2016-01-08,453.2300109863281,33.15999984741211,,1.0925976037979126,1097.800048828125,,16346.4501953125,1922.030029296875,4643.6298828125,2.130000114440918,458.0480041503906,0,33.27000045776367,0,,0,1.0778998136520386,1,1107.699951171875,0,,0,16514.099609375,0,1943.0899658203125,0,4689.43017578125,0,2.1530001163482666,0,447.6109924316406,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2016-01-09,447.6109924316406,,,,,,,,,,453.2300109863281,0,33.15999984741211,0,,0,1.0925976037979126,0,1097.800048828125,0,,0,16346.4501953125,0,1922.030029296875,0,4643.6298828125,0,2.130000114440918,0,447.9909973144531,1,,0,,0,,0,,0,,0,,0,,0,,0,,0
2016-01-10,447.9909973144531,,,,,,,,,,447.6109924316406,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,448.4280090332031,1,31.40999984741211,0,,0,1.0941038131713867,0,1096.5,0,,0,16398.5703125,0,1923.6700439453125,0,4637.990234375,0,2.1579999923706055,0
